country_m49,country,mean_intensity_kg_co2e_per_t,std_intensity_kg_co2e_per_t,q05_kg_co2e_per_t,q50_kg_co2e_per_t,q95_kg_co2e_per_t
703,Slovakia,0.01631039237626469,0.001159331906717652,0.014831056752742931,0.01612690296290013,0.01837692467269176
704,Viet Nam,0.02757485889828448,0.000964342098012088,0.026217271085801942,0.027502569388653524,0.02928531166809357
705,Slovenia,0.021850245390465765,0.0005675195834687332,0.02115882324321001,0.02176791880698274,0.023068545160006407
706,Somalia,1.2195775748506212,0.25378394477943805,0.8747073702871071,1.1685452917891648,1.6760182679216171
716,Zimbabwe,0.10796414169312187,0.0011359523574080708,0.10614006447800256,0.10798974817157445,0.10979195846173406
724,Spain,0.028210081262951135,0.003081436475217152,0.02332314670010815,0.02789564611914714,0.033365360731497054
728,South Sudan,0.2549481479832905,0.023798811668213876,0.21957078776984004,0.2523274709781612,0.29722731732552077
729,Sudan,0.3699086890264365,0.036174891334631205,0.3107172891140535,0.3686958787767335,0.4300424082839033
740,Suriname,0.026144874776547353,0.000623973708594988,0.025125755427864906,0.026148273767315926,0.027060389227707534
748,Eswatini,0.15113521300058738,0.0033228913077221526,0.14500312335084653,0.1515721934309573,0.15583028299388244
752,Sweden,0.014709611991966473,0.00019793569898363743,0.014404271122545984,0.014706230391782562,0.015027589885062202
756,Switzerland,0.020134541355285307,0.0005939411233310863,0.019434377433316437,0.019976675140089082,0.02128866644824757
762,Tajikistan,0.10555691311196272,0.003956163000466849,0.09982472873958173,0.10519289839871038,0.11241585006848631
764,Thailand,0.020671206960131763,0.00040372198135190816,0.02001148153446152,0.020669362253215216,0.02137101023896448
768,Togo,0.2578725483603051,0.0037534566576426925,0.25138107183453595,0.25808460832262853,0.2632790121973752
776,Tonga,0.07606112941452008,0.0007582864528100368,0.07467728238988175,0.07605681924204827,0.07728617561483855
780,Trinidad and Tobago,0.36484030873378887,0.014396436708348807,0.3244819127038511,0.3677630756326685,0.37833700355453753
788,Tunisia,0.017174736927834347,0.0013390961114939034,0.015480608164866263,0.016928516253939443,0.019661064322926858
792,Türkiye,0.026270417332523274,0.0027204829111489985,0.02257547589092068,0.025912460247504515,0.031138372822404073
795,Turkmenistan,0.039188057805004506,0.002620695911364424,0.03589932002931856,0.038705151916285416,0.044391985790093576
800,Uganda,0.062185960773895384,0.002699308281789589,0.056026272774357955,0.06287025046183033,0.06501029818349378
804,Ukraine,0.022602955208101183,0.000763403965485348,0.02153581479321672,0.022503686349229165,0.0239501373326342
807,North Macedonia,0.09961172478371728,0.013172941947992702,0.08020508394294276,0.09834863398706387,0.12093714941617513
818,Egypt,0.028649106780919694,0.0027446094535020877,0.024405395306456912,0.028446890446976524,0.03336016882986995
826,United Kingdom of Great Britain and Northern Ireland,0.016227907807583188,0.000170897076069556,0.015967255224950662,0.016230853922230642,0.016500762165563808
834,United Republic of Tanzania,0.12923516117549444,0.005371199805794099,0.12170756819997601,0.12862107635650352,0.13845748103240085
840,United States of America,0.016059088001612997,0.00016549120146455953,0.015787077919602394,0.01605386224025898,0.016332546058020366
854,Burkina Faso,1.3390992713014669,0.14446739731933717,1.1255572213955187,1.331189522714891,1.5919448301795291
858,Uruguay,0.022661773697359392,0.0005713460071005139,0.02176947194250045,0.02263735444179944,0.023574985456157053
860,Uzbekistan,0.03729888518065653,0.0004019363301512238,0.03665045306262677,0.03730765312546093,0.03793376163264138
862,Venezuela (Bolivarian Republic of),0.07443019248770186,0.003495054400442152,0.06934855069104055,0.07400809505924491,0.08039615863757796
882,Samoa,0.12312124685999189,0.0017396918976314148,0.12036202501373747,0.12314545952971868,0.12603065064426955
887,Yemen,0.2669727039272776,0.028879930389611928,0.22174698016070402,0.2658482181350833,0.3151402634019659
894,Zambia,0.035354996139823895,0.000510756303425857,0.03443891977670646,0.03536891855064252,0.03615513804738033
