country_m49,country,delta_struct,delta_within,delta_total,delta_obs,reconstruction_error,weight_interval,weight_interval_norm
233,Estonia,-5.900532519700947e-06,-0.0008463923773172537,-0.0008522929098369546,-0.0008522929098368996,5.5077470362263625e-17,871850.0,0.0009320580634032725
234,Faroe Islands,0.0,0.0002740806059185995,0.0002740806059185995,0.0002740806059185995,0.0,7293.0,7.796638706658332e-06
242,Fiji,0.0,0.1163418097352531,0.1163418097352531,0.1163418097352531,0.0,12565.0,1.3432711552058403e-05
246,Finland,0.0,-9.586468744429873e-05,-9.586468744429873e-05,-9.586468744429873e-05,0.0,2322760.0,0.002483164750072358
250,France,4.758711174303273e-05,-0.0005409387721604812,-0.0004933516604174484,-0.0004933516604173974,5.106592232406726e-17,25669510.0,0.027442190490463887
258,French Polynesia,0.0,0.029258291791763508,0.029258291791763508,0.029258291791763508,0.0,664.7950000000001,7.107042957620905e-07
262,Djibouti,-0.0003756564906095583,-0.0013634585884347498,-0.001739115079044308,-0.00173911507904434,3.187554387107383e-17,15209.085,1.6259391307261294e-05
266,Gabon,0.0,-0.000158783993318104,-0.000158783993318104,-0.000158783993318104,0.0,10616.535,1.1349689800026451e-05
268,Georgia,-0.000645164168533332,-0.0011460672635002023,-0.0017912314320335343,-0.0017912314320333994,1.3487475025719675e-16,593955.5,0.0006349727740754974
270,Gambia,0.0,-0.0020355732236001997,-0.0020355732236001997,-0.0020355732236001997,0.0,50788.740000000005,5.429609984182179e-05
276,Germany,-0.00019368197478338025,-0.001457561594648834,-0.0016512435694322144,-0.0016512435694323,8.565197162635485e-17,33600755.0,0.03592115000767084
288,Ghana,0.0,0.005073076954785816,0.005073076954785816,0.005073076954785816,0.0,49131.97,5.252491691161058e-05
300,Greece,9.618791550236639e-05,-3.3365421066600196e-05,6.282249443576619e-05,6.28224944358019e-05,3.57109090562413e-17,1976420.0,0.002112907263487407
308,Grenada,0.0,0.006911740354363288,0.006911740354363288,0.006911740354363288,0.0,595.565,6.366934226423927e-07
320,Guatemala,2.9557044278295718e-06,0.003034916710447256,0.0030378724148750857,0.0030378724148752007,1.1492543028346347e-16,561787.28,0.0006005830868169892
324,Guinea,-0.0006380883952887521,0.000261255188066183,-0.0003768332072225691,-0.0003768332072225933,2.417770844642675e-17,277075.385,0.00029620960802869317
328,Guyana,0.0,-0.0364877159145985,-0.0364877159145985,-0.0364877159145985,0.0,24795.5,2.650782326216189e-05
332,Haiti,-0.001606003337301582,0.003965147449658439,0.0023591441123568574,0.002359144112356798,5.941427905220564e-17,98849.9,0.000105676258945469
340,Honduras,0.0,0.00027839891825560265,0.00027839891825560265,0.00027839891825560265,0.0,689411.0,0.0007370202231449372
344,"China, Hong Kong SAR",0.0,0.0,0.0,0.0,0.0,60.0,6.414346940895378e-08
348,Hungary,-2.804472162463287e-05,0.0007541058174182244,0.0007260610957935916,0.0007260610957935017,8.988036009904832e-17,2025555.0,0.002165435419644223
352,Iceland,0.0,0.002579420340589198,0.002579420340589198,0.002579420340589198,0.0,155735.0,0.00016648972014005693
356,India,-0.00039348079685551146,-0.0037721462372006537,-0.004165627034056165,-0.0041656270340562004,3.5561831257524545e-17,224636921.46499997,0.2401498583351963
360,Indonesia,0.009133873455994444,0.007195839168690941,0.016329712624685386,0.01632971262468541,2.42861286636753e-17,1465820.175,0.0015670465259023296
364,Iran (Islamic Republic of),0.00010623181809785046,0.0030283970265057953,0.0031346288446036457,0.0031346288446036027,4.2934406030425976e-17,8410611.485,0.008991430008311546
368,Iraq,6.166641846159972e-05,-0.0010269774664677538,-0.0009653110480061541,-0.0009653110480065119,3.5778671692021646e-16,352103.5,0.0003764190013505926
372,Ireland,0.0,0.000411397534354499,0.000411397534354499,0.000411397534354499,0.0,8646090.0,0.009243170157034353
376,Israel,7.369092988293124e-05,-0.0003941405203936458,-0.00032044959051071454,-0.0003204495905108004,8.586881206085195e-17,1670550.5,0.0017859150815477073
380,Italy,-0.0002133046986379555,-0.0013789170345806583,-0.0015922217332186139,-0.0015922217332186989,8.500145032286355e-17,13675860.0,0.014620285125852244
384,Côte d'Ivoire,0.0,-0.02618327111183877,-0.02618327111183877,-0.02618327111183877,0.0,36236.79,3.8739223847394704e-05
388,Jamaica,-0.00015325773213768697,-0.0003734965032246069,-0.0005267542353622938,-0.0005267542353622028,9.107298248878237e-17,205509.06,0.00021970106838954743
392,Japan,0.0,0.00014318206047340097,0.00014318206047340097,0.00014318206047340097,0.0,7368575.5,0.007877433286196937
398,Kazakhstan,2.4204298687203403e-05,-0.00020078092107329634,-0.00017657662238609292,-0.00017657662238590444,1.8848854768660495e-16,3300608.35,0.0035285411788193734
400,Jordan,0.0007283603793923042,-0.02000396330107093,-0.01927560292167863,-0.019275602921678604,2.42861286636753e-17,526437.98,0.000562792641097357
404,Kenya,-0.00925753170245151,-0.0077846260826542855,-0.017042157785105795,-0.017042157785105802,6.938893903907228e-18,5838077.215,0.006241242120791042
